Name,Description,Section/Column,Assignee,Collaborator,Due Date,Priority,Status,Pillar,Stakeholder,Tier,Dependencies,Original ID,Last Modified
"Validate Karbon_entities Table","Cleared ~5k records. Daniel re-running analysis. Waiting to get confirmation on if we can activate the syncing of certain contact types from Karbon to NetSuite. Also waiting for Daniel to get back in office Mon 3/2. Foundational dependency.",Active Projects,Ervina,Daniel,,P1,In Progress,Data Modeling,,,"Foundational",1,"Mar 10, 2026"
"Update Core client_subsidiary Model","Confirmed table logic with Tyson. The table should increase by rows for every client_subsidiary relationship. Additionally we will bring in the leadership_position_3 and leadership_position_4 fields from kpi_dimn_client to represent the CAS client owner and manager. We are holding off on adding operational logic around forcing the use of client owner/manager fields and CAS fields between office 3 and local offices.",Active Projects,Ervina,Daniel,,P1,In Progress,Data Modeling,,,"Depends on #1",2,"Feb 26, 2026"
"Create Validation Process","Future orchestration project. Catch inactive users, email changes, RLS integrity.",Active Projects,Ervina,,,Future,Not Started,Governance & Architecture,,,"None",4,"Feb 25, 2026"
"Monthly Tie-Out to Financials","Reconcile Power BI vs. financials monthly",Active Projects,Ervina,,,P1,Not Started,Governance & Architecture,CFO,,"Depends on #4",5,"Feb 25, 2026"
"Full WIP Report w/ Automated Flags","Monthly review workflow with flag logic",Active Projects,Ervina,,,P1,Not Started,Reporting,CFO,,"Depends on #1, #2",6,"Feb 25, 2026"
"Align HR, IT & Data on Employee Groups","Future project. Define groupings, update DIM_RLS.",Active Projects,Ervina,,,Future,Not Started,Data Intake,,,"None",7,"Feb 25, 2026"
"Move Power BI Access to IT/HR","Remove manual Security Group bottleneck",Active Projects,Ervina,,,P2,Not Started,Governance & Architecture,,,"Depends on #7",8,"Feb 25, 2026"
"Clean Up Snowflake Roles & Permissions","Unblock pending access requests",Active Projects,Ervina,,,P2,Not Started,Governance & Architecture,,,"None",9,"Feb 25, 2026"
"Integrate Paylocity via Fivetran","Manual weekly upload (interim)",Active Projects,Ervina,,,P2,Not Started,Data Intake,,2,"None",10,"Feb 27, 2026"
"HDI Timekeeping Data - Architecture Design","Designing architecture for HDI timekeeping data. Abdulrahman completed HDI for 5 offices.",Active Projects,Ervina,,,P2,Not Started,Data Modeling,CFO,,"None",11,"Feb 26, 2026"
"Daily Production by Office vs. PY & Forecast","Daily output vs. prior year and forecast",Active Projects,Ervina,,,P2,Not Started,Reporting,CFO,,"Depends on #3",12,"Feb 25, 2026"
"Implement Orchestration Tooling","Prevent silent Power BI failures",Active Projects,Ervina,,,P2,Not Started,Governance & Architecture,,,"None",14,"Feb 25, 2026"
"Exception Report for Office Admins","Push data quality ownership to source",Active Projects,Abdulrahman,,,P2,Planned,Reporting,,,"None",16,"Feb 27, 2026"
"Aged WIP by Office","WIP aging model per office",Active Projects,Ervina,,,P3,Not Started,Reporting,CFO,,"Depends on #1, #2",17,"Feb 25, 2026"
"New Churn Model (Lost to WIP)","Cross-ref Karbon work against 'lost' labels",Active Projects,Ervina,Daniel,,P3,Not Started,Data Modeling,,,"Depends on #1, #2",18,"Feb 25, 2026"
"TTM & YTD Churn Models","Stable foundation required",Active Projects,Ervina,Daniel,,P3,Not Started,Data Modeling,,,"Depends on #1, #2, #16",19,"Feb 25, 2026"
"Update Median Pricing Formula","New KPI reporting",Active Projects,Ervina,,,P3,Not Started,Reporting,,,"None",20,"Feb 25, 2026"
"Update Executive Dashboard","Update Ops Manager filters. Restructuring YoY.",Active Projects,Ervina,,,P3,In Progress,Reporting,,,"Depends on #3",21,"Feb 25, 2026"
"New A/R Filters for Finance","",Active Projects,Ervina,,,P3,Not Started,Data Intake,,,"None",22,"Feb 25, 2026"
"Talent Acquisition - Candidate Pipeline Tool","TA tool that organizes all internal datasets and documentation to give the TA team a list of possible candidates when a new role is added to coda. This is sourced from candidates who previously applied via Paylocity and/or resumes that the TA team collected and is stored in their sharepoint.",Active Projects,Abdulrahman,,,Pipeline,On Hold,AI Pipeline,,,"None",24,"Mar 10, 2026"
"Compliance Request","",Active Projects,Abdulrahman,,,Pipeline,On Hold,AI Pipeline,,,"None",25,"Mar 10, 2026"
"CY PY Bar Graph - Gross Production","Similar to revenue by client owner report",Active Projects,Abdulrahman,,,P2,Not Started,Reporting,,,"None",27,"Feb 27, 2026"
"Add Paylocity Roles to Billable Hours","Verify dbt column (user_account table), add if missing, update PowerBI",Active Projects,Abdulrahman,,,P2,Not Started,Reporting,,,"None",28,"Feb 27, 2026"
"HDI Toggle in PowerBI","Add HDI toggle to PowerBI reporting",Active Projects,Abdulrahman,,,P2,Not Started,Reporting,,,"None",29,"Feb 27, 2026"
"Executive Cohort Details","PowerBI reporting updates",Active Projects,Ervina,,,P2,Not Started,Reporting,,,"None",30,"Feb 25, 2026"
"Separate Team KPI from Book of Business","KPI Beta App, future consideration",Active Projects,Ervina,,,Future,Not Started,Reporting,,,"None",31,"Feb 25, 2026"
"Introduce Target Metrics in Reporting","Across different reports, future consideration",Active Projects,Ervina,,,Future,Not Started,Reporting,,,"None",32,"Feb 25, 2026"
"HDI Timekeeping Data - Upload","Upload all timekeeping data for previous HDI offices. Waiting on Ervina to finish Time Data Architecture.",Active Projects,Abdulrahman,,,P2,Not Started,Data Intake,,,"Depends on #11",33,"Feb 27, 2026"
"Update Karbon Status Mapping Table","Request from Mark. Bayshore Advisors - Santa Cruz office. Update in Snowflake.",Active Projects,Abdulrahman,,,P2,On Hold,Data Modeling,,,"None",42,"Mar 10, 2026"
"PowerBI Access Issue - Jeff Dredge","Jeff cannot see any revenue in PowerBI. Investigate access issue. Access looks okay. Waiting for Jeff to send screenshots of the issue. Never heard back from Jeff Dredge.",Active Projects,Abdulrahman,,,P1,Cancelled,Reporting,Jeff Dredge,,"None",43,"Mar 17, 2026"
"Create Data Ticketing System","Formalize request intake so data requests aren't coming through Teams and getting lost.",Active Projects,Abdulrahman,,,P2,On Hold,Governance & Architecture,,,"None",44,"Mar 10, 2026"
"FiveTran Netsuite2.com Source Migration","Netsuite will eliminate the previous data source and move to netsuite2. We will have to review and plan the migration of our source data ahead of time so nothing breaks when the source is changed.",Active Projects,Ervina,,,P1,In Progress,Governance & Architecture,,4,"None",47,"Feb 26, 2026"
"Office Mapping - Hulquist","Connect the new acquisition's netsuite instance to the karbon instance in our database. Confirm the NetSuite database contains the office and note the Subsidiary Name and Subsidiary ID. Confirm the KPI database contains the office and note the Account Name and Account ID. (This requires reaching out to Karbon to ensure they add the office). Finally confirm HR has created the new Department Description. When all of these conditions exist and are met, we can connect the data",Active Projects,Abdulrahman,,,P2,Not Started,Data Intake,,2,"None",48,"Feb 27, 2026"
"Office Mapping - BA, Inc","Connect the new acquisition's netsuite instance to the karbon instance in our database. Confirm the NetSuite database contains the office and note the Subsidiary Name and Subsidiary ID. Confirm the KPI database contains the office and note the Account Name and Account ID. (This requires reaching out to Karbon to ensure they add the office). Finally confirm HR has created the new Department Description. When all of these conditions exist and are met, we can connect the data",Active Projects,Abdulrahman,,,P2,Not Started,Data Intake,,2,"None",49,"Feb 27, 2026"
"Office Mapping - St.Clair","Connect the new acquisition's netsuite instance to the karbon instance in our database. Confirm the NetSuite database contains the office and note the Subsidiary Name and Subsidiary ID. Confirm the KPI database contains the office and note the Account Name and Account ID. (This requires reaching out to Karbon to ensure they add the office). Finally confirm HR has created the new Department Description. When all of these conditions exist and are met, we can connect the data",Active Projects,Abdulrahman,,,P2,Not Started,Data Intake,,2,"None",50,"Feb 27, 2026"
"Office Mapping - Smeriglio","Connect the new acquisition's netsuite instance to the karbon instance in our database. Confirm the NetSuite database contains the office and note the Subsidiary Name and Subsidiary ID. Confirm the KPI database contains the office and note the Account Name and Account ID. (This requires reaching out to Karbon to ensure they add the office). Finally confirm HR has created the new Department Description. When all of these conditions exist and are met, we can connect the data",Active Projects,Abdulrahman,,,P2,Not Started,Data Intake,,2,"None",51,"Feb 27, 2026"
"Engagement Letter Signatures","Show project by client and client owner and then getting the list of Karbon task names that are either checked or not and showing that.",Active Projects,Ervina,,,P2,In Progress,Reporting,Tyson,1,"None",52,"Mar 10, 2026"
"Platform Connect Data Analysis Request","Analyze capacity planning / hours worked within certain service line segments across all of Platform to see where there are areas to consolidate service lines and mitigate key-person risk. Would need all Platform offices using Karbon, that were tracking work from 1/1/25 to 12/31/25. Team message includes data points requested.",Active Projects,Abdulrahman,,,P2,Waiting,Reporting,"Mike, Chase",,"None",54,"Mar 10, 2026"
"Bolton Acquisition Tool","",Active Projects,Abdulrahman,,,Pipeline,On Hold,AI Pipeline,Corp Dev Team,,"None",61,"Mar 10, 2026"
"Update Madison Street HDI","",Active Projects,Abdulrahman,,,P2,In Progress,Data Intake,Tyson,,"None",60,"Mar 10, 2026"
"Talent Acquisition - Automated Coordinator Workflow","A webapp that replaces the coordinator role on the TA team. It preps the interviewer, schedules, and coordinates candidate interview process.",Active Projects,Abdulrahman,,,Pipeline,On Hold,AI Pipeline,Chris Schafer,4,"None",59,"Mar 10, 2026"
"Review Master - HR Tool","HR Tool that streamlines annual comp cycle. An Infrastructure request was made and sent to IT and Security. We're waiting on the 7 requirements listed in the Inf. Request. See doc for details. Deploying the tool can't be done until requests are fulfilled. The hierarchy structure has been completed, the planning and md file is done, and currently working on publishing a local page with the dummy data to test the first version of the tool.",Active Projects,Abdulrahman,,,P1,In Progress,AI Pipeline,Tyson,4,"None",58,"Mar 10, 2026"
"Add WIP Breakout Filter to KPI","KPI Report includes all billing types and this is inconsistent compared to the WIP and RLZ report because there we only show T&M/Fixed Billing Type WIP. To add clarity we will include a billing type WIP filter on the KPI PowerBI report.",Active Projects,Abdulrahman,,,P2,In Progress,Reporting,Amber,,"None",57,"Mar 10, 2026"
"Update Time and Billing HDI for Keystone-O","Reached out to the Admin.",Active Projects,Abdulrahman,,,P1,In Progress,Data Intake,Tyson,,"None",62,"Mar 10, 2026"
"Realization Dashboard","Build a new Realization Dashboard in Power BI for COO Tyson.",Active Projects,Ervina,,,P1,Not Started,Reporting,Tyson,3,"None",63,"Apr 1, 2026"
"Historical Data Integration - 5 Offices","ASG, Pottsville, Greencoast, Walpole, Santa Cruz. Uploaded tables to Snowflake, added to dbt models, published in Power BI. Full pipeline delivery.",Completed,Abdulrahman,,Feb 23 2026,,Complete,Data Modeling,,,,1,"Feb 23, 2026"
"Added Karbon Statuses to Snowflake for Brian","Loaded Karbon status data into Snowflake, published for reporting.",Completed,Abdulrahman,,Feb 18 2026,,Complete,Data Intake,,,,2,"Feb 18, 2026"
"Added Karbon Statuses to Snowflake for Mark/Tyson Colledge","Loaded Karbon status data for Colledge offices.",Completed,Abdulrahman,,Feb 18 2026,,Complete,Data Intake,,,,3,"Feb 18, 2026"
"Custom Data Request for Chase - Two Offices","Custom data extraction and delivery for two offices.",Completed,Abdulrahman,,Feb 18 2026,,Complete,Data Intake,,,,4,"Feb 18, 2026"
"dim_date Table","Created in Snowflake via Initial Table Creation Notebook. Does not need to be run again.",Completed,Ervina,,Feb 24 2026,,Complete,Data Modeling,,,,5,"Feb 24, 2026"
"Ryan's Data Request (PDF IDs)","CFO data request. IDs in PDF format.",Completed,Abdulrahman,,Feb 24 2026,,Complete,Data Intake,,,,6,"Feb 24, 2026"
"PowerBI Bug: Sarah Lippled Client Owner (Amber)","Sarah Lippled showing as client_owner on KPI report under Meridian, but she is not in that firm. Root cause: mismatching keys between the vw_fact_sales_reward table and the dim_subsidiary table because the PowerBI semantic model was pulling dim_subsidiary from sandbox but the actual vw_fact_sales_reward table was internally joining to dim_subsidiary in analytics causing mismatched keys.",Completed,Abdulrahman,,Feb 26 2026,,Complete,Data Modeling,,,,7,"Feb 26, 2026"
"Office Prospecting Tool","AI tool for Noah (Corp Dev). Generates list of acquirable offices by state, filtering noisy data.",Completed,Abdulrahman,,Feb 26 2026,,Complete,AI Pipeline,,,,8,"Feb 26, 2026"
"Pathlight Earnout Analysis","Explained missing invoices in earnout statement.",Completed,Ervina,,Feb 26 2026,,Complete,Data Intake,,,,9,"Feb 26, 2026"
"Data Request for Chase - Karbon Work Types, Task Types & Roles","Sent table of all work types, task types, and roles across all offices in the Karbon instance.",Completed,Abdulrahman,,Mar 4 2026,,Complete,Data Intake,Chase,,,10,"Mar 4, 2026"
"PowerBI Bug: A/R Report Refresh - DHS (Amber)","The issue was likely due to the Snowflake refresh errors that occurred in Notebooks",Completed,Abdulrahman,,Mar 6 2026,,Complete,Reporting,Amber,,,11,"Mar 6, 2026"
"PowerBI Bug: Mike Watters Incorrect Office (Amber)","Likely resolved with the same fix that resolved Sarah Lippold",Completed,Abdulrahman,,Mar 6 2026,,Complete,Reporting,Amber,,,12,"Mar 6, 2026"
"Karbon User Data Request","Pulled max last login date to capture users not active in Karbon.",Completed,Abdulrahman,,Mar 10 2026,,Complete,Reporting,Mike,,,13,"Mar 10, 2026"
"Client Owner Returns Data Request","Delivered returns count for John Bostwick in 2025 where he was the sole time-tracker, as a measure of client transition readiness and engagement of others in work.",Completed,Abdulrahman,,Mar 10 2026,,Complete,Reporting,Mike,,,14,"Mar 10, 2026"
"Data Request for Tyson - HDI Master Production File","Compiled all clean production data from HDI extracts into one master Excel file.",Completed,Abdulrahman,,Mar 10 2026,,Complete,Data Intake,Tyson,,,15,"Mar 10, 2026"
"Update Master Office Mapping","Updated dbt model with cohort details merged into subsidiary table. Built two lookup tables for NS <> KB office mapping in both directions at the stage level.",Completed,Ervina,,Mar 10 2026,,Complete,Data Modeling,,,,16,"Mar 10, 2026"
"Connect Sharepoint <> FiveTran","Created a Sharepoint site to sync cohort details and HR department descriptions into FiveTran to eliminate manual process. Testing and adding permissions.",Completed,Ervina,,Mar 10 2026,,Complete,Governance & Architecture,,,,17,"Mar 10, 2026"
"PowerBI Bug: Brett M Contreras WIP (Amber)","Resolved WIP discrepancy showing $6.6k vs. actual $170 for Brett M Contreras client.",Completed,Abdulrahman,,Mar 17 2026,,Complete,Reporting,Amber,,,18,"Mar 17, 2026"
"PowerBI Bug: BC Athletics WIP (Amber)","Resolved WIP discrepancy for BC Athletics, same root cause as Brett M Contreras issue.",Completed,Abdulrahman,,Mar 17 2026,,Complete,Reporting,Amber,,,19,"Mar 17, 2026"
"PowerBI Bug: Negative Production - Meridian (Amber)","Investigated and explained negative production showing on Meridian in PowerBI.",Completed,Abdulrahman,,Mar 17 2026,,Complete,Reporting,Amber,,,20,"Mar 17, 2026"
"PowerBI Bug: Arkose Advisors A/R (Brian)","Michael & Tracey Moore. Resolved negative $2,040 A/R balance discrepancy between PowerBI and NetSuite ($1,285 open balance).",Completed,Abdulrahman,,Mar 17 2026,,Complete,Reporting,Brian,,,21,"Mar 17, 2026"
"PowerBI Bug: WIP N/A - Jack C Wilder Admin Trust (Amber)","The WIP discrepancies were solved with the other ticket items. Regarding Client Owner stuff, we'll wait to deploy the new client_sub model before digging in.",Completed,Abdulrahman,,Mar 17 2026,,Complete,Reporting,Amber,,,22,"Mar 17, 2026"
